FrameNumber,PersonID,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,x22,y22,x23,y23,x24,y24
0,2,1445.5,665.694,1454.52,812.975,1330.75,812.797,0.0,0.0,0.0,0.0,1586.92,824.628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1413.27,642.084,1472.12,644.94,1375.11,674.49,1516.12,674.61,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,1445.47,665.707,1454.51,812.968,1328.0,812.864,0.0,0.0,0.0,0.0,1586.91,821.707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1413.26,642.094,1472.09,644.937,1375.1,674.516,1516.12,674.611,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,1445.49,665.697,1454.51,812.938,1330.77,812.889,0.0,0.0,0.0,0.0,1586.85,818.753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1413.26,642.087,1472.11,644.942,1375.12,674.498,1516.13,677.412,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,1136.6,1010.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
3,2,1445.46,668.454,1454.48,815.857,1330.75,815.772,0.0,0.0,0.0,0.0,1586.87,824.584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1413.24,642.117,1472.1,644.969,1375.11,674.538,1516.14,677.444,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4,2,1442.68,665.695,1454.48,812.957,1330.77,812.814,0.0,0.0,0.0,0.0,1586.89,821.701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1410.36,642.095,1472.05,644.933,1375.06,674.516,1513.38,674.586,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4,2,1133.67,1013.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1154.3,1007.09,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
5,2,1442.65,665.69,1454.5,812.968,1330.75,812.867,0.0,0.0,0.0,0.0,1586.93,821.664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1410.32,642.087,1472.03,644.921,1375.05,674.501,1513.36,674.542,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
6,2,1442.67,668.465,1451.58,815.777,1330.76,815.803,0.0,0.0,0.0,0.0,1586.81,818.788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1410.32,642.119,1472.05,644.972,1375.04,674.512,1513.36,674.605,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
7,2,1442.63,668.477,1451.61,815.86,1328.0,818.684,0.0,0.0,0.0,0.0,1586.89,821.638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1410.27,642.122,1471.99,644.937,1375.01,674.487,1513.34,674.596,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
8,2,1442.58,665.656,1454.42,812.987,1330.77,812.972,0.0,0.0,0.0,0.0,1586.86,818.737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1407.4,642.067,1469.3,642.174,1375.01,674.506,1513.32,674.535,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
9,2,1439.75,665.614,1451.63,815.825,1327.98,815.742,0.0,0.0,0.0,0.0,1586.92,821.679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1407.33,642.019,1469.25,642.135,1374.94,671.718,1513.28,674.516,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
10,2,1439.78,668.452,1451.57,818.772,1327.99,818.743,0.0,0.0,0.0,0.0,1586.86,821.711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1404.55,642.131,1469.26,644.937,1374.94,674.574,1513.33,677.399,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
11,2,1442.57,668.449,1451.61,818.77,1328.01,818.714,0.0,0.0,0.0,0.0,1586.94,824.556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1407.33,642.114,1469.29,644.936,1374.97,674.586,1513.34,674.597,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
12,2,1439.72,665.587,1451.58,815.846,1327.99,815.74,0.0,0.0,0.0,0.0,1586.91,821.693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1404.54,642.037,1469.24,642.1,1374.95,674.473,1513.3,674.538,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
