FrameNumber,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,x22,y22,x23,y23,x24,y24,y25,x26,y26,x27,y27,x28,y28,x29,y29,x30,y30,x31,y31,x32,y32,x33,y33,x34,y34,x35,y35,x36,y36,x37,y37,x38,y38,x39,y39,x40,y40,x41,y41,x42,y42,x43,y43,x44,y44,x45,y45,x46,y46,x47,y47,x48,y48,x49,y49,x50,x51,y51,x52,y52,x53,y53,x54,y54,x55,y55,x56,y56,x57,y57,x58,y58,x59,y59,x60,y60,x61,y61,x62,y62,x63,y63,x64,y64,x65,y65,x66,y66,x67,y67,x68,y68,x69,y69,x70,y70,x71,y71,x72,y72,x73,y73,x74,y74,x75,y75
0,565.639,224.26,489.069,338.86,433.033,356.575,0.0,0.0,0.0,0.0,550.792,315.52,603.887,412.462,733.369,459.674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,533.184,215.342,556.895,200.625,480.097,241.905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1380.88,200.652,1319.06,262.472,1327.82,268.255,1383.81,380.229,1475.12,365.581,1310.3,253.661,1380.86,359.504,1454.44,344.97,1336.79,459.565,1348.44,468.525,1492.69,427.301,1563.29,559.757,0.0,0.0,0.0,0.0,0.0,0.0,1375.03,191.81,0.0,0.0,1351.31,200.582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1345.59,647.974,1354.38,848.201,1227.82,848.167,0.0,0.0,0.0,0.0,1483.87,848.16,0.0,0.0,1639.98,1074.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1310.27,630.322,1371.99,624.567,1283.62,692.055,1401.65,671.449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,565.651,224.257,489.048,338.936,430.213,359.511,0.0,0.0,0.0,0.0,550.856,318.256,606.771,412.516,730.424,459.672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,533.217,215.349,556.893,200.655,480.123,241.892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1380.9,200.654,1319.09,262.471,1327.83,268.255,1383.87,383.083,1478.0,368.412,1313.15,253.663,1380.88,359.488,1454.45,344.946,1336.73,456.767,1345.58,468.485,1492.69,427.307,1563.33,559.753,0.0,0.0,0.0,0.0,0.0,0.0,1375.04,191.812,0.0,0.0,1351.32,200.586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1345.59,647.964,1354.41,851.089,1227.82,848.17,0.0,0.0,0.0,0.0,1483.87,851.065,0.0,0.0,1639.98,1074.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1310.26,630.318,1371.98,624.563,1283.62,692.048,1401.64,671.488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,565.642,224.268,486.241,338.839,430.143,353.68,0.0,0.0,0.0,0.0,550.888,318.261,606.843,412.55,736.337,459.711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,533.201,218.189,559.667,200.673,480.119,241.891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1380.89,200.672,1319.07,262.492,1327.8,268.28,1383.89,383.102,1477.99,368.461,1313.17,253.662,1380.89,359.514,1454.49,344.935,1333.85,459.597,1342.65,471.421,1492.7,427.309,1563.37,565.567,0.0,0.0,0.0,0.0,0.0,0.0,1375.04,191.83,0.0,0.0,1351.31,200.586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1345.59,647.955,1354.41,848.185,1227.82,848.157,0.0,0.0,0.0,0.0,1483.85,848.128,0.0,0.0,1639.96,1074.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1310.27,630.305,1372.0,624.54,1283.63,692.016,1401.65,671.482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,565.639,224.234,489.058,338.906,430.257,359.522,0.0,0.0,0.0,0.0,550.804,315.511,606.859,412.589,727.475,459.668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,533.212,215.395,556.893,200.645,480.108,241.899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1380.91,200.687,1321.97,265.285,1327.82,268.278,1386.75,383.115,1477.99,368.484,1313.23,253.666,1380.86,359.549,1454.49,344.951,1339.65,456.772,1348.44,468.503,1492.71,430.095,1563.42,568.517,0.0,0.0,0.0,0.0,0.0,0.0,1375.05,191.852,0.0,0.0,1351.31,200.583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1345.58,647.951,1354.38,848.131,1227.79,848.152,0.0,0.0,0.0,0.0,1480.97,845.19,0.0,0.0,1639.96,1074.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1310.28,627.533,1372.0,624.531,1283.63,692.026,1404.37,671.475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,565.65,224.214,489.049,338.838,430.213,353.722,0.0,0.0,0.0,0.0,550.85,315.531,606.838,412.609,727.511,459.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,533.219,215.375,559.674,200.636,480.1,241.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1380.91,200.695,1319.12,265.293,1327.8,268.302,1386.76,385.905,1478.0,371.424,1313.21,253.677,1380.85,359.533,1454.43,344.975,1333.87,459.582,1342.65,471.454,1492.7,430.096,1563.39,565.622,0.0,0.0,0.0,0.0,0.0,0.0,1375.06,191.847,0.0,0.0,1351.31,200.567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1345.59,647.954,1354.37,848.143,1227.79,848.156,0.0,0.0,0.0,0.0,1480.94,845.201,0.0,0.0,1639.97,1074.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1310.28,627.539,1372.0,624.543,1283.62,692.024,1404.38,671.478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,568.483,224.18,489.108,338.863,430.201,353.727,0.0,0.0,0.0,0.0,550.951,318.263,606.789,412.566,724.544,459.676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,533.258,215.336,559.678,200.629,480.116,241.888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1380.93,200.696,1319.1,265.307,1327.8,268.319,1389.74,385.903,1477.99,374.296,1313.18,253.69,1380.9,359.568,1454.51,344.945,1336.72,459.586,1345.55,471.467,1492.71,430.1,1563.4,565.562,0.0,0.0,0.0,0.0,0.0,0.0,1375.07,191.86,0.0,0.0,1351.3,200.574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1345.59,647.958,1354.33,845.263,1227.82,848.122,0.0,0.0,0.0,0.0,1478.04,842.286,0.0,0.0,1639.93,1074.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1310.28,630.307,1371.99,624.536,1283.63,692.02,1401.65,671.457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,565.656,224.214,489.108,338.881,430.227,353.706,0.0,0.0,0.0,0.0,550.924,318.276,606.878,412.624,721.696,459.679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,533.234,215.399,556.884,200.654,480.115,241.902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1380.93,200.693,1319.12,265.285,1327.82,268.299,1392.59,385.912,1478.0,374.287,1313.19,253.66,1380.94,359.563,1457.41,344.906,1336.79,459.581,1345.57,471.445,1492.7,430.11,1563.39,565.589,0.0,0.0,0.0,0.0,0.0,0.0,1375.07,191.861,0.0,0.0,1351.3,200.588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1345.55,647.943,1354.38,848.143,1227.84,845.242,0.0,0.0,0.0,0.0,1480.99,848.117,0.0,0.0,1639.94,1074.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1310.25,630.31,1371.96,624.506,1283.62,692.022,1401.64,668.695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,568.481,224.254,489.11,338.84,433.05,353.677,0.0,0.0,0.0,0.0,550.815,315.516,609.715,412.634,724.525,459.695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,533.259,215.401,559.684,200.687,480.114,241.902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1380.94,200.683,1319.11,265.289,1327.79,268.289,1392.65,385.951,1478.01,374.341,1313.21,253.679,1380.94,359.555,1457.44,344.881,1336.74,459.594,1342.66,474.352,1492.71,430.1,1563.37,562.659,0.0,0.0,0.0,0.0,0.0,0.0,1375.07,191.856,0.0,0.0,1351.31,200.586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1345.55,647.958,1354.38,845.251,1227.84,845.204,0.0,0.0,0.0,0.0,1480.97,845.206,0.0,0.0,1639.91,1074.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1310.24,630.331,1371.95,624.506,1280.96,692.025,1401.64,668.688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,568.496,224.218,489.081,338.884,430.245,356.57,0.0,0.0,0.0,0.0,550.841,318.274,612.725,415.482,727.457,459.737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,533.297,215.328,559.7,200.67,480.11,241.898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1380.96,200.698,1321.98,265.302,1327.77,268.295,1392.61,385.946,1477.99,377.178,1316.12,253.681,1383.81,359.616,1460.39,344.825,1339.66,459.586,1345.53,474.34,1492.71,430.118,1563.36,562.623,0.0,0.0,0.0,0.0,0.0,0.0,1375.09,194.64,0.0,0.0,1351.31,200.591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1345.56,647.954,1354.36,845.233,1227.86,845.267,0.0,0.0,0.0,0.0,1478.07,842.301,0.0,0.0,1639.86,1074.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1310.24,630.323,1371.95,624.519,1280.96,692.019,1401.64,668.703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,568.483,224.252,489.096,338.888,430.224,356.587,0.0,0.0,0.0,0.0,550.886,318.273,609.729,412.669,727.491,459.757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,533.308,215.31,559.71,200.657,480.137,241.893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1380.96,200.722,1319.11,265.301,1327.76,268.299,1392.67,385.978,1477.99,377.232,1313.24,253.696,1383.83,362.37,1463.25,342.088,1336.75,459.6,1342.65,474.374,1492.71,430.115,1563.35,559.724,0.0,0.0,0.0,0.0,0.0,0.0,1375.11,194.669,0.0,0.0,1351.31,200.606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1345.55,647.96,1354.31,845.238,1227.79,848.175,0.0,0.0,0.0,0.0,1478.0,842.254,0.0,0.0,1639.87,1074.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1310.23,630.309,1371.94,624.506,1280.93,689.268,1401.62,668.691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
