FrameNumber,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,x22,y22,x23,y23,x24,y24,x25,y25,x26,y26,x27,y27,x28,y28,x29,y29,x30,y30,x31,y31,x32,y32,x33,y33,x34,y34,x35,y35,x36,y36,x37,y37,x38,y38,x39,y39,x40,y40,x41,y41,x42,y42,x43,y43,x44,y44,x45,y45,x46,y46,x47,y47,x48,y48,x49,y49,x50,y50,x51,y51,x52,y52,x53,y53,x54,y54,x55,y55,x56,y56,x57,y57,x58,y58,x59,y59,x60,y60,x61,y61,x62,y62,x63,y63,x64,y64,x65,y65,x66,y66,x67,y67,x68,y68,x69,y69,x70,y70,x71,y71,x72,y72,x73,y73,x74,y74
0,518.47,194.704,462.658,268.259,403.757,303.635,474.374,436.014,630.394,450.797,527.356,233.042,615.573,303.624,736.293,330.181,506.639,433.261,462.65,465.578,0.0,0.0,0.0,0.0,547.948,403.69,0.0,0.0,0.0,0.0,486.116,176.973,527.196,162.417,430.115,182.957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1330.84,250.671,1263.21,336.021,1277.82,339.088,1374.92,418.463,1448.47,392.011,1257.24,324.207,1348.43,371.36,1428.0,338.811,0.0,0.0,1333.79,509.679,1486.82,424.362,1557.47,550.844,0.0,0.0,0.0,0.0,0.0,0.0,1319.12,241.853,0.0,0.0,1280.67,250.641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1416.15,698.004,1445.56,854.068,1330.79,854.082,1269.04,1015.91,0.0,0.0,1563.27,854.057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1395.55,680.417,1445.65,674.457,0.0,0.0,1495.71,709.797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,518.454,194.693,462.657,268.281,403.749,303.663,474.408,436.012,627.507,450.755,527.364,233.059,612.703,300.77,736.338,333.031,503.893,433.137,462.633,462.644,0.0,0.0,0.0,0.0,547.912,397.868,0.0,0.0,0.0,0.0,486.105,176.973,527.177,162.426,430.105,182.943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1330.82,250.655,1263.2,336.041,1277.82,341.82,1374.96,418.482,1448.52,391.997,1257.22,324.217,1348.43,368.531,1428.02,338.811,0.0,0.0,1330.92,512.654,1478.09,427.258,1560.35,547.938,0.0,0.0,0.0,0.0,0.0,0.0,1319.1,241.868,0.0,0.0,1280.68,250.639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1416.22,695.28,1445.53,856.875,1330.79,856.897,0.0,0.0,0.0,0.0,1563.27,856.937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1395.57,683.312,1445.66,674.483,0.0,0.0,1495.76,709.878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,515.626,194.683,462.647,268.277,403.761,303.672,477.208,436.0,627.456,447.887,527.349,233.023,612.737,300.727,736.354,333.021,503.89,433.149,462.628,462.649,0.0,0.0,0.0,0.0,547.932,397.882,0.0,0.0,0.0,0.0,486.091,176.97,527.17,165.269,427.304,180.156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1330.81,250.672,1263.2,336.024,1277.81,341.815,1374.9,418.476,1448.45,392.013,1257.24,321.412,1348.49,368.43,1428.08,336.042,0.0,0.0,1330.89,509.765,1478.06,427.297,1560.39,547.977,0.0,0.0,0.0,0.0,0.0,0.0,1319.09,241.871,0.0,0.0,1280.67,250.621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1416.13,698.006,1445.56,856.911,1330.75,856.913,0.0,0.0,0.0,0.0,1563.41,856.924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1395.53,680.436,1445.64,671.736,0.0,0.0,1495.74,706.889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,515.575,194.679,462.671,268.272,406.603,303.637,477.224,435.99,627.458,447.825,527.349,232.984,612.722,300.687,736.339,330.186,506.664,433.245,462.673,465.567,0.0,0.0,0.0,0.0,547.969,400.802,0.0,0.0,0.0,0.0,483.358,176.986,524.452,165.284,427.269,180.144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1330.81,250.673,1263.21,336.041,1277.85,341.842,1374.99,418.498,1445.74,391.986,1257.23,321.421,1345.58,365.596,1428.1,336.045,0.0,0.0,1330.86,512.588,1475.14,427.295,1560.41,544.972,0.0,0.0,0.0,0.0,0.0,0.0,1319.09,241.875,0.0,0.0,1280.65,247.908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1413.23,695.231,1445.5,854.034,1330.79,853.986,1277.86,1018.9,0.0,0.0,1560.38,856.858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1392.67,680.392,1445.55,671.653,0.0,0.0,1495.7,703.968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,515.56,194.686,462.663,268.276,406.581,303.688,477.25,436.004,627.452,444.959,527.309,230.126,612.74,300.661,739.146,333.046,506.655,433.212,462.653,465.536,0.0,0.0,0.0,0.0,547.974,400.799,0.0,0.0,0.0,0.0,483.327,177.003,524.441,165.291,427.235,180.154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1330.81,250.669,1263.24,336.037,1277.87,341.849,1375.04,418.504,1445.71,392.021,1257.26,321.415,1345.58,365.609,1430.91,336.037,0.0,0.0,1330.91,509.73,1478.02,427.209,1557.52,542.082,0.0,0.0,0.0,0.0,0.0,0.0,1319.08,241.882,0.0,0.0,1280.67,250.623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1413.22,695.224,1445.54,853.971,1330.81,854.012,0.0,0.0,0.0,0.0,1563.25,853.978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1392.67,680.398,1445.55,671.649,0.0,0.0,1495.71,703.965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,515.521,194.669,462.664,268.238,403.765,303.636,477.249,435.99,627.422,444.883,527.333,230.089,612.711,297.873,736.364,333.005,503.87,433.233,462.597,465.565,0.0,0.0,0.0,0.0,547.893,403.662,0.0,0.0,0.0,0.0,483.307,176.989,524.422,165.287,427.224,182.942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1330.81,250.655,1263.19,336.043,1277.89,341.852,1375.11,421.332,1445.75,391.973,1257.17,321.41,1345.59,365.6,1430.96,335.994,0.0,0.0,1330.9,509.698,1475.12,427.222,1560.39,545.007,0.0,0.0,0.0,0.0,0.0,0.0,1319.07,241.862,0.0,0.0,1280.64,247.903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1413.27,695.271,1445.67,856.94,1330.8,856.857,0.0,0.0,0.0,0.0,1566.33,857.074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1395.49,680.405,1445.58,671.692,0.0,0.0,1495.72,706.841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,512.699,194.677,462.672,268.249,403.741,303.671,477.27,435.986,627.411,442.034,527.349,230.079,615.589,300.678,739.132,333.045,503.903,433.214,462.671,465.54,0.0,0.0,0.0,0.0,547.897,403.665,0.0,0.0,0.0,0.0,483.292,177.002,524.396,165.304,424.373,182.968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1330.8,250.668,1263.18,336.055,1277.92,341.865,1377.84,421.35,1445.71,391.96,1254.34,321.41,1345.6,365.606,1430.97,335.987,0.0,0.0,1330.92,509.708,1477.98,427.255,1560.35,547.871,0.0,0.0,0.0,0.0,0.0,0.0,1319.06,241.872,0.0,0.0,1277.92,247.909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1410.34,695.244,1445.6,854.076,1330.83,853.957,1266.11,1012.96,0.0,0.0,1563.3,856.957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1392.64,680.423,1445.52,671.679,0.0,0.0,1495.69,706.874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,512.668,194.672,462.648,268.196,403.754,300.746,477.228,435.995,627.414,442.019,527.3,230.029,609.807,297.825,736.345,333.018,506.652,433.252,465.501,468.436,0.0,0.0,0.0,0.0,547.918,403.707,0.0,0.0,0.0,0.0,483.284,177.001,524.378,165.332,424.346,182.966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1330.8,250.649,1263.14,336.071,1277.89,341.882,1375.08,421.348,1445.69,391.982,1254.3,321.412,1345.6,365.605,1430.93,336.018,0.0,0.0,1333.75,509.691,1475.15,427.284,1560.37,545.027,0.0,0.0,0.0,0.0,0.0,0.0,1319.06,241.867,0.0,0.0,1277.89,247.897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1619.31,521.396,0.0,0.0,0.0,0.0,1410.3,695.245,1442.69,851.103,1330.88,848.191,1263.19,1004.14,0.0,0.0,1557.46,854.051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1392.6,680.406,1445.49,671.654,0.0,0.0,1495.65,706.864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,512.654,194.671,462.625,268.199,403.757,300.767,477.254,435.98,627.482,441.964,527.291,230.022,606.886,297.78,739.117,333.081,503.877,433.161,462.633,462.672,0.0,0.0,0.0,0.0,547.862,400.759,0.0,0.0,0.0,0.0,483.266,176.982,524.362,165.299,424.323,183.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1330.79,250.639,1263.17,336.07,1277.86,341.889,1375.03,418.522,1445.66,391.996,1257.17,324.213,1348.49,365.558,1430.96,335.979,0.0,0.0,1330.88,509.711,1477.97,427.281,1557.52,544.959,0.0,0.0,0.0,0.0,0.0,0.0,1319.04,241.854,0.0,0.0,1277.88,247.908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1410.32,695.235,1445.49,853.985,1330.84,851.069,1260.31,1004.23,0.0,0.0,1560.41,856.914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1392.62,680.411,1445.5,671.661,0.0,0.0,1495.68,706.865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,512.643,194.656,462.599,268.191,403.74,303.628,477.244,435.974,627.506,441.969,527.258,227.218,606.841,297.753,736.316,333.084,506.645,433.151,465.541,465.499,0.0,0.0,0.0,0.0,547.878,397.86,0.0,0.0,0.0,0.0,483.258,176.977,524.328,165.295,424.324,183.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1330.78,250.634,1263.14,336.086,1277.86,341.904,1375.0,418.513,1445.64,392.023,1254.33,324.215,1348.47,365.558,1430.98,335.992,0.0,0.0,1330.93,509.725,1477.98,427.263,1560.32,545.034,0.0,0.0,0.0,0.0,0.0,0.0,1319.04,241.852,0.0,0.0,1277.89,247.908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1410.35,695.256,1445.58,853.978,1330.91,853.94,1260.29,1004.23,0.0,0.0,1560.41,854.064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1392.61,680.409,1445.51,671.68,0.0,0.0,1495.66,706.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
